position,docid,date,court,title
433,122394244,2019-05-20,Delhi High Court,"Spiegel Verlag Rudolf Augstein Gmbh& Co ... vs Govt Of National Capital Territory Of ... on 20 May, 2019"
434,96094344,2018-02-28,Jharkhand High Court,"M/S. Aretpl-At (Jv) vs M/S. Central Coalfields Limited on 28 February, 2018"
435,1396999,2010-06-14,Bombay High Court,"Bharat Forge Limited vs Maharashtra General Kamgar on 14 June, 2010"
436,185008301,2013-03-22,Delhi High Court,"Union Of India vs Reliance Indstries Ltd & Anr on 22 March, 2013"
437,1592774,2003-04-21,Delhi High Court,"Madura Coats Limited vs Bank Of India And Anr. on 21 April, 2003"
438,117180628,2009-01-09,Calcutta High Court (Appellete Side),"Jayanta Kumar Pan & Anr vs Bharat Petroleum Corporation Ltd on 9 January, 2009"
439,1678563,2000-01-28,Delhi High Court,"Alimenta S.A. vs National Agricultural Coop., ... on 28 January, 2000"
440,691265,2008-01-07,Gujarat High Court,"Mundra International ... vs The Gujarat Maritime Board And Ors. on 7 January, 2008"
441,1304500,1999-08-11,Bombay High Court,"Oil & Natural Gas Commission vs Mcdermott International Inc. on 11 August, 1999"
442,869737,2007-07-25,Andhra HC (Pre-Telangana),"P. Manohar Reddy vs Appellate Authority Under Section 53 Of ... on 25 July, 2007"
443,1025456,1986-04-25,Karnataka High Court,"Food Corporation Of India Loading And ... vs Food Corporation Of India on 25 April, 1986"
444,34944771,2020-12-15,Allahabad High Court,"M/S Badri Narayan Shukla Associates vs State Of U.P. And 4 Others on 15 December, 2020"
445,120528673,2017-07-14,Madras High Court,"Raj Television Network Ltd vs Thaicom Public Company Limited on 14 July, 2017"
446,45281652,2017-12-18,Madhya Pradesh High Court,"Madhya Pradesh Paschim Kshetra Vidyut ... vs Secro Bpo Pvt. Ltd. on 18 December, 2017"
447,69387794,2017-08-21,Madras High Court,"Sri Sudha Constructions vs I.T.I. Limited on 21 August, 2017"
448,156328792,2016-03-22,Chattisgarh High Court,"M/S Lal Babu Singh vs State Of Chhattisgarh And Anr on 22 March, 2016"
449,355217,2000-06-12,Bombay High Court,"Sterling Construction & Investment vs Assistant Commissioner Of Income Tax on 12 June, 2000"
450,718815,2008-04-01,Madras High Court,"Neyveli Lignite Corporation Limited vs M/S. Metro Machinery Traders on 1 April, 2008"
451,393526,2001-08-17,Rajasthan High Court - Jaipur,"Friends Coal Carbonisation vs Hindustan Zinc Ltd. on 17 August, 2001"
452,405347,1986-09-12,Patna High Court,"Uttam Singh Duggal And Co. Pvt. Ltd. vs Union Of India (Uoi) And Ors. on 12 September, 1986"
453,615194,2000-01-19,Gujarat High Court,"V. Laxmikant And Co. vs State Of Gujarat on 19 January, 2000"
454,181462918,2014-11-05,Madras High Court,"Tamil Nadu Airport Workers Union vs Government Of India on 5 November, 2014"
455,35383867,2023-06-02,Delhi High Court,"B.L. Kashyap And Sons Ltd. vs Mist Avenue Private Ltd. on 2 June, 2023"
456,44270844,2021-11-16,Delhi High Court,"Zee Entertainment Enterprises Ltd & ... vs Railtel Corporation Of India Ltd & Anr. on 16 November, 2021"
457,154155167,2018-05-31,Delhi High Court,"Vedanta Limited & Ors. vs Union Of India & Ors. on 31 May, 2018"
458,36992042,2018-03-22,Delhi High Court,"North Delhi Municipal Corporation & ... vs Amit Tanwar on 22 March, 2018"
459,20250800,2018-03-22,Delhi High Court,"North Delhi Municipal Corporation And ... vs Mohit Gupta on 22 March, 2018"
460,183634591,2020-01-17,Gujarat High Court,"A Joint Venture Of M/S China Civil ... vs Gujarat Metro Rail Corporation Limited on 17 January, 2020"
461,29244411,2020-06-02,Bombay High Court,"Afcons Infrastructure Limited vs Konkan Railway Corporation Limited on 2 June, 2020"
462,10273283,2019-09-24,Madhya Pradesh High Court,"Power And Instrumentation (Guj.) ... vs Indore Smart City Development Limited on 24 September, 2019"
463,147762742,2018-03-22,Delhi High Court,"North Delhi Municipal Corporation & ... vs Gagan Chadha on 22 March, 2018"
464,88684536,2019-07-24,Bombay High Court,"The Consortium Comprising Of Lasen And ... vs Mumbai Metropolitan Regional ... on 24 July, 2019"
465,112580957,2020-01-06,Bombay High Court,"Oil And Natural Gas Corporation Ltd vs Cgg Services Sas on 6 January, 2020"
466,93336839,2019-01-29,Delhi High Court,"Union Of India vs Khaitan Holdings (Mauritius) Limited & ... on 29 January, 2019"
467,67525597,2018-12-14,Chattisgarh High Court,"Bharat Aluminium Co. Ltd vs Lark Constructions Private Ltd. 24 ... on 14 December, 2018"
468,171866445,2016-11-28,Orissa High Court,"Management Of Ms. Steel Authority Of ... vs Presiding Officer Industrial Tribunal ... on 28 November, 2016"
469,38726331,2015-11-02,Gujarat High Court,"Vital Ventures Ltd vs M.V.Infinity Imo 8115215 A Motor Vessel ... on 2 November, 2015"
470,293958,2001-04-27,Bombay High Court,"General Insurance Corporation Of India ... vs Nandlal Engineering Company Pvt. Ltd. on 27 April, 2001"
471,1693834,2008-06-13,Punjab-Haryana High Court,"Areva T&D India Limited vs Power Grid Corporation Of India Ltd on 13 June, 2008"
472,482720,1998-08-28,Kerala High Court,"Geo Tech. Construction Co. Pvt. Ltd. vs Hindustan Steel Works Construction ... on 28 August, 1998"
473,1413204,2004-02-09,Bombay High Court,"Shree Rani Sati Investment And Finance ... vs Union Of India (Uoi) And Anr. on 9 February, 2004"
474,438914,2005-03-24,Madras High Court,"Tamil Nadu Electricity Board, ... vs Central Organisation Of Tamil Nadu ... on 24 March, 2005"
475,594649,2003-05-30,Delhi High Court,"Interads Advertising (P) Ltd. vs Palmex Enterprises And Ors. on 30 May, 2003"
476,489038,1993-04-05,Calcutta High Court,"The Boeing Company vs R.M. Investment & Trading Co. Pvt. Ltd. on 5 April, 1993"
477,94611660,2022-01-10,Bombay High Court,"Maha Active Engineers India Pvt Ltd vs Maharashtra State Electricity ... on 10 January, 2022"
478,13538566,2019-12-11,Chattisgarh High Court,"M/S Uttam Con Infrastructure Private ... vs State Of Chhattisgarh 22 Wpc/347/2019 ... on 11 December, 2019"
479,86512107,2019-07-25,Chattisgarh High Court,"M/S Shivam Coal Carriers Private ... vs South Eastern Coalfields Limited 38 ... on 25 July, 2019"
480,161468605,2011-10-13,Delhi High Court,"Bharat Heavy Electricals Ltd. & Anr. vs Dpc Engineering Project Pvt. Ltd. on 13 October, 2011"
481,864113,2004-04-29,Calcutta High Court,"Union Of India (Uoi) vs Kamrup Industrial Gases Ltd. on 29 April, 2004"
482,746971,2003-09-30,Gauhati High Court,"Union Of India (Uoi) vs B.K. Construction on 30 September, 2003"
483,271548,2007-06-27,Bombay High Court,"Bhartiya Kamgar Sena vs Udhe India Ltd. And Anr. on 27 June, 2007"
484,122417,2002-04-09,Madras High Court,"K. Gopalasamy Chetty, K. ... vs Selliamman Koil Co-Op. House Site ... on 9 April, 2002"
485,1255851,2005-03-10,Gauhati High Court,"A. Angoubi Singh vs State Of Manipur And Ors. on 10 March, 2005"
486,150788551,2007-07-25,Madras High Court,"The Management Of Tractor'S And Farms ... vs The Presiding Officer, Labour Court, B. ... on 25 July, 2007"
487,162858433,2007-11-21,Madras High Court,"R.Uma Krupa vs Tamil Nadu Industrial Investment ... on 21 November, 2007"
488,1967410,1998-08-18,Andhra HC (Pre-Telangana),"Kolleri Constructions, Hyd. vs Nectar Laboratories, Ltd., Hyd. on 18 August, 1998"
489,1330556,2003-07-08,Jammu & Kashmir High Court,"Pran Nath Gupta vs Union Of India (Uoi) And Ors. on 8 July, 2003"
490,301581,1995-09-05,Bombay High Court,"International Airports Authority Of ... vs M/S. Mohinder Singh on 5 September, 1995"
491,232139,1969-01-11,Bombay High Court,"Maruti Mahipati Mullick vs Polson Limited on 11 January, 1969"
492,22245,1991-02-19,Patna High Court,"Ruby Construction vs The State Of Bihar And Ors. on 19 February, 1991"
493,742641,1993-02-17,Patna High Court,"Northern India Seeds Corporation And ... vs The State Of Bihar And Ors. on 17 February, 1993"
494,286127,1993-02-16,Rajasthan High Court - Jaipur,"Mohammed Ayub vs Mohammed And Sons And Ors. on 16 February, 1993"
495,1158907,1959-01-27,Calcutta High Court,"Brojo Gopal Das And Ors. vs Kalipada Banerjee And Ors. on 27 January, 1959"
496,1129416,1964-08-28,Bombay High Court,"Jobanputra (B.K.) vs Kalelkar (B.S.) on 28 August, 1964"
497,29258439,2018-11-29,Delhi High Court,"Affinity Beauty Salon Pvt. Ltd. & Anr. vs Kotak Mahindra Bank Limited & Ors. on 29 November, 2018"
498,188216888,2011-09-30,Madras High Court,"M/S. Sangeeth Textiles Ltd vs M/S.The Cotton Corporation Of India ... on 30 September, 2011"
499,165282763,2013-04-01,Madras High Court,"Tecco & R.D. (Jv) vs The Chief Administrative ... on 1 April, 2013"
500,115097376,2016-02-29,Madhya Pradesh High Court,"M/S Seth Mohanlal Hiralal Construction ... vs Union Of India on 29 February, 2016"
501,1375058,2007-08-09,Madhya Pradesh High Court,"D.D. Sharma Through Shri R.B. Singh, ... vs Madhya Pradesh Rural Roads Development ... on 9 August, 2007"
502,709322,2002-02-15,Kerala High Court,"Transformers & Electricals Kerala Ltd. ... vs The Industrial Tribunal Alappuzha, The ... on 15 February, 2002"
503,82505,2002-11-22,Gujarat High Court,"Escorts Finance Ltd. vs Mansukh S. Dhokai on 22 November, 2002"
504,316543,2007-04-16,Karnataka High Court,"Compact Griha Nirman vs Kusum Alloys Ltd. on 16 April, 2007"
505,169977,2000-08-28,Bombay High Court,"Pratap B. Nalage vs The State Of Maharashtra And Ors. on 28 August, 2000"
506,1723455,1997-06-30,Andhra HC (Pre-Telangana),"Tinna Oils And Chemicals Limited Rep. By ... vs Visakhapatnam Port Trust, Rep. By Its ... on 30 June, 1997"
507,155501562,2009-04-06,Delhi High Court,"M/S. Valecha Engineering Lim. vs M/S. D.S. Constructions Ltd. & Anr. on 6 April, 2009"
508,1392970,1999-06-08,Madras High Court,"Bhuvaneswari P. And Ors. vs Union Of India (Uoi) And Ors. on 8 June, 1999"
509,1766517,2004-03-18,Calcutta High Court,"Ktc Korea Co. Ltd. vs Hobb International Private Ltd. on 18 March, 2004"
510,403177,2007-11-29,Delhi High Court,"Shri Mohan Lal Kukreja vs Shri Sunder Kukreja And Ors. on 29 November, 2007"
511,378034,2001-06-22,Bombay High Court,"Federation Of Hindustan Lever Ltd. And ... vs Secretary, State <b>Contract</b> Labour ... on 22 June, 2001"
512,86386166,2017-02-08,Bombay High Court,"S. Kumar Construction Co. & Anr vs Muncipal Corporation Of Gr. Bombay & Ors on 8 February, 2017"
513,142824065,2022-05-12,Delhi High Court,"Gujarat Gas Limited vs Vedanta Limited & Ors. on 12 May, 2022"
514,18334360,2021-07-28,Delhi High Court,"Larsen And Toubro Limited And Anr. vs Punjab National Bank And Anr. on 28 July, 2021"
515,32187155,2015-04-10,Jharkhand High Court,"Chanani Transport Through One Of Its ... vs Ms Central Coalfields Limited Through ... on 10 April, 2015"
516,212211,2007-11-02,Bombay High Court,"Shree Precoated Steels Limited vs Macsteel International Far East Ltd. ... on 2 November, 2007"
517,12139571,2023-06-05,Telangana High Court,"M/S Supreme Laundry Services Joint ... vs The Union Of India And 5 Others on 5 June, 2023"
518,27498100,2022-01-27,Telangana High Court,"Mrs. Raqya Bee Died And 15 Others vs M/S. Ps.R. Constructions And Anothers on 27 January, 2022"
519,128412049,2018-10-05,Calcutta High Court (Appellete Side),"M/S. Bimala Gas Service & Anr vs Indian Oil Corporation Limited & Ors on 5 October, 2018"
520,1677524,2011-09-19,Jharkhand High Court,"M/S Nagarjuna Construction Com vs State Of Jharkhand & Ors on 19 September, 2011"
521,34162547,2014-06-11,Delhi High Court,"Sterlite Optical Technologies Ltd. vs Bharat Sanchar Nigam Ltd. on 11 June, 2014"
522,173063806,2012-11-09,Delhi High Court,"M/S Karam Chand Thapar & Bros (Coal ... vs Tehri Hydro Development Corporation ... on 9 November, 2012"
523,131385411,2013-04-02,Delhi High Court,"Union Of India vs M/S Tejinder Kumar Dua on 2 April, 2013"
524,100912659,2013-03-01,Rajasthan High Court - Jodhpur,"Contractor Association (Civil) vs Raj. Rajya Vidyut Pras. Nigam Ltd. &Ors on 1 March, 2013"
525,146803111,2016-06-17,Delhi High Court,"M/S National Highways Authority Of ... vs M/S Bscpl Infrastructure Ltd. on 17 June, 2016"
526,139509205,2011-05-19,Allahabad High Court,"M/S Chhatra Shakti Construction Co. And ... vs State Of U.P. And Others on 19 May, 2011"
527,12279083,2016-07-29,Delhi High Court,"M/S Era Infra Engineering Ltd. vs Aravali Power Company Pvt. Ltd. on 29 July, 2016"
528,65856895,2013-05-10,Delhi High Court,"Wsp Engineering Services Ltd. vs R.C. Panwar on 10 May, 2013"
529,1958202,2007-10-10,Delhi High Court,"Lift And Shift India Pvt. Ltd. vs Container Corporation Of India Ltd. on 10 October, 2007"
530,878516,2006-06-06,Andhra HC (Pre-Telangana),"Ahmedabad Electricity Company Limited vs Sanghi Spinners (India) Ltd. And Anr. on 6 June, 2006"
531,1806032,2003-12-11,Delhi High Court,"Ram Kishan And Sons vs Freeway Marketing (India) Pvt. Ltd. And ... on 11 December, 2003"
532,1138197,2000-10-31,Kerala High Court,"State Of Kerala And Ors. vs Kottarakkara Public Works Skilled ... on 31 October, 2000"
533,47824259,2008-08-27,Delhi High Court,"Metal Distributors (Uk) Limited vs Emmsons International Limited And ... on 27 August, 2008"
534,1144359,2001-10-19,Madras High Court,"Concrete Products And Construction Co. ... vs Union Of India (Uoi) And Ors. on 19 October, 2001"
535,1586143,1971-07-28,Gujarat High Court,"Gujarat Electricity Board vs S.A. Jais And Co. And Ors. on 28 July, 1971"
536,358444,1992-03-06,Bombay High Court,"The Union Of India (Uoi) Owning The ... vs R.N. Pattiwar on 6 March, 1992"
537,1307756,1994-07-21,Karnataka High Court,"The Karnataka Housing Board And Others vs M/S. Vaijanath Tubewells Ltd. Gulbarga on 21 July, 1994"
538,1082239,1974-01-14,Calcutta High Court,"Planters Airways Pvt. Ltd. vs Sterling General Insurance Co. Ltd. on 14 January, 1974"
539,1351298,1927-09-12,Madras High Court,"R.A. Arunachala Ayyar vs Louis Dreyfus And Co. on 12 September, 1927"
540,184342109,2021-07-26,Delhi High Court,"Ashwani Kumar vs Scraft Products Pvt. Ltd. & Ors. on 26 July, 2021"
541,337359,2011-01-24,Madras High Court,"M/S.Ivrcl Infrastructures And ... vs M/S.National Highways Authority Of ... on 24 January, 2011"
542,1224759,2006-06-21,Jharkhand High Court,"Lakeshwari Builders Pvt. Ltd. vs State Of Jharkhand And Ors. on 21 June, 2006"
543,1537011,2001-08-29,Delhi High Court,"Stracon India Ltd. vs Utv Software Communication Ltd. on 29 August, 2001"
544,412949,2003-09-23,Andhra HC (Pre-Telangana),"Reliable Power Systems Private Limited vs Government Of India And Ors. on 23 September, 2003"
545,4886,2002-10-31,Bombay High Court,"Oil & Natural Gas Corporation Ltd. vs R.S. Avtar Singh & Co. on 31 October, 2002"
546,1579895,2006-07-12,Gujarat High Court,"Baraiya Vallabhbhai Odhavjibhai And 21 ... vs Central Salt And Marine Chemical ... on 12 July, 2006"
547,1816282,2002-04-08,Delhi High Court,"National Building Construction ... vs Punjab National Bank And Anr. on 8 April, 2002"
548,24630642,2006-04-27,Andhra HC (Pre-Telangana),"Union Of India (Uoi) vs Col. L.S.N. Murthy And Anr. on 27 April, 2006"
549,1288770,1998-04-02,Delhi High Court,"Telecommunications Consultants India ... vs Nangia Constructions (India) Pvt. Ltd. on 2 April, 1998"
550,1651595,1998-04-02,Gauhati High Court,"Indian Oil Corporation Ltd. (Assam Oil ... vs Presiding Officer, Industrial ... on 2 April, 1998"
551,408407,1999-11-19,Bombay High Court,"Faircot S.A., A Company Incorporated ... vs Tata Ssi Ltd. on 19 November, 1999"
552,221400,1993-03-02,Bombay High Court,"Parwani Builders vs Konkan Railway Corporation Ltd. And ... on 2 March, 1993"
553,364387,1981-08-20,Calcutta High Court,"Hindustan National Glass And ... vs S.N. Singh And Ors. on 20 August, 1981"
554,778616,1958-03-28,Calcutta High Court,"Ghosh Singh Partners Ltd. vs Union Of India (Uoi) on 28 March, 1958"
555,1969677,2004-08-23,Delhi High Court,"Novelty Jewellers vs Mmtc Limited on 23 August, 2004"
556,1162295,2007-12-17,Company Law Board,"Incable Net (Andhra) Limited, R.V.R. ... vs Apaksh Broadband Limited And Ors. on 17 December, 2007"
557,1075088,2005-11-28,Income Tax Appellate Tribunal - Mumbai,"Enam Financial Consultants (P) Ltd. vs Asstt. Cit on 28 November, 2005"
558,34030236,2016-01-29,Delhi District Court,"Indo Alusys Industries Ltd vs India Bulls Construction Ltd on 29 January, 2016"
559,1514424,2010-07-29,Madras High Court,"Tamil Nadu Electricity Board vs M/S. Engineering Projects (India) ... on 29 July, 2010"
560,1764353,2006-09-19,Gujarat High Court,"Indian Petrochemicals Corpn. Ltd. And ... vs Union Of India (Uoi) And 2 Ors. on 19 September, 2006"
561,1634294,2010-11-22,Madras High Court,"The Indure Private Limited vs M/S.Cethar Vessels Limited on 22 November, 2010"
562,1491997,2010-02-11,Gujarat High Court,"Surat vs Messrs on 11 February, 2010"
563,686484,2008-02-22,Bombay High Court,"Union Of India (Uoi) Through Textile ... vs Bhagwati Cottons Ltd., G.P.B. Fibres ... on 22 February, 2008"
564,818489,2010-09-06,Madhya Pradesh High Court,"Ispat Khadan Janta Mazdoor Union vs The Director on 6 September, 2010"
565,118121488,2013-02-01,Bombay High Court,"State Of Maharashtra vs Hindustan Construction Company on 1 February, 2013"
566,7009543,2016-03-30,Bombay High Court,"Icici Bank Ltd vs M/S. Welways Engineers (India) on 30 March, 2016"
567,110330140,2014-07-03,Delhi High Court,"Gopal vs Bharat Sanchar Nigam Ltd on 3 July, 2014"
568,363558,2010-11-19,Madras High Court,"Project Director vs Mecon Gea Energy on 19 November, 2010"
569,159751196,2018-03-28,Delhi District Court,"Bharat Heavy Electricals Ltd vs Pt. Merak Energi Indonesia on 28 March, 2018"
570,1492913,2009-08-14,Madras High Court,"Ennore Port Trust vs M/S.Hcc Van Oord Acz Joint Venture on 14 August, 2009"
571,182053539,2017-07-04,Allahabad High Court,"Prem Lata Nigam Advocate vs Lucknow Development Authority Thru. ... on 4 July, 2017"
572,27071441,2015-11-19,Jharkhand High Court,"The Tata Power Company Limited Through ... vs Jharkhand Urja Vikas Nigam Limited ... on 19 November, 2015"
573,97654158,2016-05-12,Patna High Court,"Bihar State Road Development ... vs Mora Tollways Ltd. & Ors on 12 May, 2016"
574,1783824,2009-06-17,Bombay High Court,"M/S. Hindustan Lever Ltd vs <b>Contract</b> Laghu Udyog Kamgar on 17 June, 2009"
575,1826774,2009-06-17,Bombay High Court,"M/S. Hindustan Lever Ltd vs <b>Contract</b> Laghu Udyog Kamgar on 17 June, 2009"
576,120801394,2012-07-04,Delhi High Court,"M/S. Jyoti Sarup Mittal vs M/S. Abhiyan Cooperative Group Housing ... on 4 July, 2012"
577,144867613,1800-01-01,Madras High Court,M/S.Gammon -Ojsc Mosmetrostroy Jv vs M/S. Chennai Metro Rail Limited
578,82732509,2021-09-03,Madhya Pradesh High Court,"Mp Road Development Corporation vs Ministry Of Road Transport And Highways ... on 3 September, 2021"
579,180338865,2018-02-20,Madras High Court,"Puravankara Projects Limited ... vs Galaxy Properties Private Limited ... on 20 February, 2018"
580,168411224,2018-03-22,Delhi High Court,"North Delhi Municipal Corporation vs Varinderjeet Singh on 22 March, 2018"
581,63531466,2017-07-04,Andhra HC (Pre-Telangana),"M/S Sri Vishnu Srirama Constructions ... vs 1. The Andhra Pradesh Education & ... on 4 July, 2017"
582,154829357,2013-05-14,Kerala High Court,"The Fertilisers And Chemicals ... vs Annam Steels Pvt. Ltd on 14 May, 2013"
583,52108344,2014-10-31,Andhra HC (Pre-Telangana),"M/S Atlantic Inter-Trade Limited With ... vs Canara Bank, Industrial Finance ... on 31 October, 2014"
584,103436462,2013-06-14,Gujarat High Court,"Kirtikumar Fakrichand Mehta vs Dilipkumar Jayantilal on 14 June, 2013"
585,163248511,1800-01-01,Madras High Court,M/S.Archer Power Systems Private ... vs Kohli Ventures Limited
586,102974133,2022-12-02,Allahabad High Court,"U.P. Expressways Industrial ... vs M/S Sahakar Global Ltd. Thru Thru ... on 2 December, 2022"
587,15284174,2020-08-13,Delhi High Court,"Jmc Projects (India) Limited vs South Delhi Municipal Corporation on 13 August, 2020"
588,164637544,2016-10-21,Gujarat High Court,"Fernas Construction Company Inc vs Gujarat State Petronet Ltd & on 21 October, 2016"
589,181235677,2021-08-25,Gujarat High Court,"Jinmangal Corporation vs Ahmedabad Urban Development Authority on 25 August, 2021"
590,22160099,2019-12-13,Gujarat High Court,"M/S P And T Tex Fab vs The New India Assurance Co. Ltd on 13 December, 2019"
591,52256272,2012-03-07,Delhi High Court,"National Building Construction ... vs A.M. Rasool Construction And ... on 7 March, 2012"
592,77638016,2013-08-07,Rajasthan High Court - Jaipur,"Ramesh Dangayach vs M/S Sequin Real Estate And Others on 7 August, 2013"
593,1449431,2011-08-30,Gujarat High Court,"M/S vs The on 30 August, 2011"
594,1113299,2009-01-21,Bombay High Court,"Daulatraj Sankhla vs Western Coalfields Ltd on 21 January, 2009"
595,174942481,1800-01-01,Madras High Court,Tamilnadu Road Sector Project Ii vs M/S.Ircon International Ltd. And
596,110854584,2018-03-12,Delhi High Court,"Satish Ahuja vs Union Of India And Ors. on 12 March, 2018"
597,159013278,2018-04-24,Karnataka High Court,"Ncc Limited vs Abb India Limited on 24 April, 2018"
598,136514,2011-02-11,Madras High Court,"S. Usha vs The General Manager on 11 February, 2011"
599,176721626,2015-07-17,Allahabad High Court,"Natioanl Highways Authority Of India ... vs M/S Shiva Tractors on 17 July, 2015"
600,1063093,1964-08-28,Bombay High Court,"B.K. Jobanputra And Ors. vs B.S. Kalekar And Ors. on 28 August, 1964"
601,49338980,1800-01-01,Madras High Court,Rajiv Gandhi Ongc (Con) vs Government Of India
602,6050512,2015-04-28,Bombay High Court,"Oil And Natural Gas Corporation Ltd vs M/S. Jindal Drilling And Industries on 28 April, 2015"
603,157966114,2015-04-28,Bombay High Court,"Oil And Natural Gas Corporation Ltd vs M/S.Jindal Drilling And Industries Ltd on 28 April, 2015"
604,141679439,2013-09-27,Gujarat High Court,"Tbea Shenyang Transformers Group Co. ... vs Alstom Projects India Ltd on 27 September, 2013"
605,635489,1997-06-10,Andhra HC (Pre-Telangana),"State Of A.P. Rep. By Superintending ... vs K. Bapiraju And Anr. on 10 June, 1997"
606,21208347,2021-04-05,Delhi District Court,"Oil And Natural Gas Corporation Ltd vs Planetcast Technologies Ltd on 5 April, 2021"
607,53012662,2020-07-07,Delhi District Court,"Airports Authority Of India vs M/S Balvir Singh & Sons on 7 July, 2020"
608,94564485,2024-11-08,Supreme Court of India,"Central Organisation For Railway ... vs M/S Eci Spic Smo Mcml (Jv) A Joint Venture ... on 8 November, 2024"
609,6300708,2024-02-02,Supreme Court of India,"The Authorised Officer Central Bank Of ... vs Shanmugavelu on 2 February, 2024"
610,175664604,2024-07-09,Supreme Court of India,"Subodh Kumar Singh Rathour vs The Chief Executive Officer on 9 July, 2024"
611,137917133,2012-09-28,Supreme Court of India,"Chloro Controls(I) P.Ltd vs Severn Trent Water Purification Inc ... on 28 September, 2012"
612,163519742,2024-10-03,Supreme Court of India,"Rama Devi vs The State Of Bihar on 3 October, 2024"
613,1907493,2009-04-13,Supreme Court of India,"International Airport Authority Of ... vs International Air Cargo Workers' ... on 13 April, 2009"
614,120343307,2025-01-27,Supreme Court of India,"Som Datt Builders-Ncc-Nec(Jv) vs National Highways Auth.Of India on 27 January, 2025"
615,103059244,2025-05-06,Supreme Court of India,"Arabian Exports Private Ltd vs National Insurance Co. Ltd on 6 May, 2025"
616,349497,1960-12-16,Supreme Court of India,"Godavari Sugar Mills Ltd vs Kepargaon Taluka Sakhar Kamgarsabha, ... on 16 December, 1960"
617,96694737,2024-04-08,Delhi High Court,"National Highway Authority Of India vs M S Ssangyong Engineering And ... on 8 April, 2024"
618,194918044,2024-07-18,Manipur High Court,"The State Of Manipur vs M/S Sri Avantika Contractors (I) Ltd on 18 July, 2024"
619,148801015,2025-03-10,Allahabad High Court,"M/S Jai Prakash Associates Ltd vs State Of U.P. And Another on 10 March, 2025"
620,64128612,2023-12-04,Delhi High Court,"Meera Goyal vs Priti Saraf on 4 December, 2023"
621,110652667,2018-10-12,Chattisgarh High Court,"M/S Univabs Sleepers Pvt. Ltd vs Union Of India 16 Arba/46/2017 Union Of ... on 12 October, 2018"
622,111029221,2017-09-19,Gujarat High Court,"Akrata Shipping S.A vs Pipavav Defense And Offshore ... on 19 September, 2017"
623,187600226,2014-02-14,Supreme Court - Daily Orders,"Enercon (India) Ltd vs Enercon Gmbh on 14 February, 2014"
624,169605013,2023-03-16,Karnataka High Court,"Dodballapur Integrated Textile Park ... vs Mrs Premalatha G Jain on 16 March, 2023"
625,91929304,2023-03-29,Rajasthan High Court - Jodhpur,"Welspun Enterprises Limited vs Ravi Infrabuild Projects Pvt. Ltd on 29 March, 2023"
626,16772848,2017-05-26,Allahabad High Court,"Smt. Jyoti Khare vs State Of U.P.,Thru.Secy.,Housing & ... on 26 May, 2017"
627,104781,2010-05-05,Gujarat High Court,"Oil vs Parmar on 5 May, 2010"
628,51555879,2025-05-06,Gujarat High Court,"Union Of India Repr By Chief Engineer ... vs M/S Pushkarraj Construction P Ltd on 6 May, 2025"
629,11663332,2016-05-12,Patna High Court,"The State Of Bihar & Anr vs Mora Tollways Ltd. & Ors on 12 May, 2016"
630,91664587,2016-05-12,Patna High Court,"Mora Tollways Limited vs The State Of Bihar & Ors on 12 May, 2016"
631,148310407,2025-03-07,Delhi High Court,"Airports Authority Of India vs Mumbai International Airport Limited & ... on 7 March, 2025"
632,27094996,2024-08-20,Bombay High Court,"Pimpri Chinchwad Mun.Corp. And Ors vs Mahapalika And Parivahan Kamgar Aghadi ... on 20 August, 2024"
633,66337671,2024-09-24,Delhi High Court,"Union Of India Through Sr. Divisional ... vs Shri B.S Sangwan on 24 September, 2024"
634,107595843,2024-07-30,Gujarat High Court,"Gujarat Industries Power Company Ltd vs Ashwin Bhagwandas Panchal Or His ... on 30 July, 2024"
635,192179344,2024-05-30,Gauhati High Court,"M/S New Age Petcoke Pvt Ltd vs The Numaligarh Refinery Ltd. And 2 Ors on 30 May, 2024"
636,150718366,2024-05-30,Gauhati High Court,"M/S New Age Petcoke Pvt Ltd vs The Numaligarh Refinery Ltd. And 2 Ors on 30 May, 2024"
637,151208616,2024-05-30,Gauhati High Court,"M/S New Age Petcoke Pvt Ltd vs The Numaligarh Refinery Ltd. And 2 Ors on 30 May, 2024"
638,58903386,2024-05-30,Gauhati High Court,"M/S New Age Petcoke Pvt Ltd vs The Numaligarh Refinery Ltd. And 2 Ors on 30 May, 2024"
639,184277340,2024-08-20,Bombay High Court,"Pimpri Chinchwad Municipal ... vs Ravi Arjun Jagte And Ors on 20 August, 2024"
640,18263779,2024-08-20,Bombay High Court,"Pimpri Chinchwad Municipal ... vs Ravi Arjun Jagte And Ors on 20 August, 2024"
641,93584054,2024-05-30,Gauhati High Court,"M/S New Age Petcoke Pvt Ltd vs The Numaligarh Refinery Ltd. And 2 Ors on 30 May, 2024"
642,36887127,2023-07-31,Delhi High Court,"Ntpc Ltd vs Tata Projects Ltd on 31 July, 2023"
643,133656199,2023-06-05,Bombay High Court,"Oil Field Emplyees Association (Ofea) ... vs Oil And Natural Gas Corporatiojn Ltd on 5 June, 2023"
644,21699855,2023-06-05,Bombay High Court,"Oil And Natural Gas Corporation Limited vs Petroleum Employees Union And Ors on 5 June, 2023"
645,71482583,2023-04-26,Delhi High Court,"Tehri Hydro Development Corporation ... vs M/S C. E. C. Limited on 26 April, 2023"
